system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
21,02,05,.184,0.000000,0.000000,0.000000
21,02,06,.184,0.000000,0.000000,0.000000
21,02,07,.184,0.000000,0.000000,0.000000
21,02,08,.184,0.000000,0.000000,0.000000
21,02,09,.184,0.000000,0.000000,0.000000
21,02,10,.184,0.000000,0.000000,0.000000
21,02,11,.184,0.000000,0.000000,0.000000
21,02,12,.184,0.000000,0.000000,0.000000
21,02,13,.184,0.000000,0.000000,0.000000
21,02,14,.183,0.000000,0.000000,0.000000
21,02,15,.183,0.000000,0.000000,0.000000
21,02,16,.183,0.000000,0.000000,0.000000
21,02,17,.184,0.000000,0.000000,0.000000
21,02,18,.184,0.000000,0.000000,0.000000
21,02,19,.184,0.000000,0.000000,0.000000
21,02,20,.184,0.000000,0.000000,0.000000
21,02,21,.184,0.000000,0.000000,0.000000
21,02,22,.184,0.000000,0.000000,0.000000
21,02,23,.184,0.000000,0.000000,0.000000
21,02,24,.184,0.000000,0.000000,0.000000
21,02,25,.184,0.000000,0.000000,0.000000
21,02,26,.184,0.000000,0.000000,0.000000
21,02,27,.184,0.000000,0.000000,0.000000
21,02,28,.184,0.000000,0.000000,0.000000
21,02,29,.184,0.000000,0.000000,0.000000
21,02,30,.184,0.000000,0.000000,0.000000
21,02,31,.184,0.000000,0.000000,0.000000
21,02,32,.183,0.000000,0.000000,0.000000
21,02,33,.183,0.000000,0.000000,0.000000
21,02,34,.183,0.000000,0.000000,0.000000
21,02,35,.184,0.000000,0.000000,0.000000
21,02,36,.184,2.000000,2.000000,0.004444
21,02,37,.184,27.000000,29.000000,0.060000
21,02,38,.184,34.000000,63.000000,0.075556
21,02,39,.184,36.000000,99.000000,0.080000
21,02,40,.184,27.000000,126.000000,0.060000
21,02,41,.184,29.000000,155.000000,0.064444
21,02,42,.184,33.000000,188.000000,0.073333
21,02,43,.184,29.000000,217.000000,0.064444
21,02,44,.184,29.000000,246.000000,0.064444
21,02,45,.184,32.000000,278.000000,0.071111
21,02,46,.184,35.000000,313.000000,0.077778
21,02,47,.184,33.000000,346.000000,0.073333
21,02,48,.184,32.000000,378.000000,0.071111
21,02,49,.183,30.000000,408.000000,0.066667
21,02,50,.183,31.000000,439.000000,0.068889
21,02,51,.183,31.000000,470.000000,0.068889
21,02,52,.184,31.000000,501.000000,0.068889
21,02,53,.184,29.000000,530.000000,0.064444
21,02,54,.184,31.000000,561.000000,0.068889
21,02,55,.184,30.000000,591.000000,0.066667
21,02,56,.184,30.000000,621.000000,0.066667
21,02,57,.184,32.000000,653.000000,0.071111
21,02,58,.184,30.000000,683.000000,0.066667
21,02,59,.184,28.000000,711.000000,0.062222
21,03,00,.184,27.000000,738.000000,0.060000
21,03,01,.184,34.000000,772.000000,0.075556
21,03,02,.184,29.000000,801.000000,0.064444
21,03,03,.184,33.000000,834.000000,0.073333
21,03,04,.184,30.000000,864.000000,0.066667
21,03,05,.184,34.000000,898.000000,0.075556
21,03,06,.184,27.000000,925.000000,0.060000
21,03,07,.183,35.000000,960.000000,0.077778
21,03,08,.183,31.000000,991.000000,0.068889
21,03,09,.183,28.000000,1019.000000,0.062222
21,03,10,.184,31.000000,1050.000000,0.068889
21,03,11,.184,30.000000,1080.000000,0.066667
21,03,12,.184,29.000000,1109.000000,0.064444
21,03,13,.184,30.000000,1139.000000,0.066667
21,03,14,.184,30.000000,1169.000000,0.066667
21,03,15,.184,27.000000,1196.000000,0.060000
21,03,16,.184,30.000000,1226.000000,0.066667
21,03,17,.184,28.000000,1254.000000,0.062222
21,03,18,.184,33.000000,1287.000000,0.073333
21,03,19,.184,36.000000,1323.000000,0.080000
21,03,20,.184,26.000000,1349.000000,0.057778
21,03,21,.184,31.000000,1380.000000,0.068889
21,03,22,.184,33.000000,1413.000000,0.073333
