system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
12,44,00,.050,0.000000,0.000000,0.000000
12,44,01,.049,0.000000,0.000000,0.000000
12,44,02,.049,0.000000,0.000000,0.000000
12,44,03,.049,0.000000,0.000000,0.000000
12,44,04,.050,0.000000,0.000000,0.000000
12,44,05,.050,0.000000,0.000000,0.000000
12,44,06,.050,0.000000,0.000000,0.000000
12,44,07,.050,0.000000,0.000000,0.000000
12,44,08,.050,0.000000,0.000000,0.000000
12,44,09,.050,0.000000,0.000000,0.000000
12,44,10,.050,0.000000,0.000000,0.000000
12,44,11,.050,0.000000,0.000000,0.000000
12,44,12,.050,0.000000,0.000000,0.000000
12,44,13,.050,0.000000,0.000000,0.000000
12,44,14,.050,0.000000,0.000000,0.000000
12,44,15,.050,0.000000,0.000000,0.000000
12,44,16,.050,0.000000,0.000000,0.000000
12,44,17,.050,0.000000,0.000000,0.000000
12,44,18,.050,0.000000,0.000000,0.000000
12,44,19,.049,0.000000,0.000000,0.000000
12,44,20,.049,0.000000,0.000000,0.000000
12,44,21,.049,0.000000,0.000000,0.000000
12,44,22,.050,0.000000,0.000000,0.000000
12,44,23,.050,0.000000,0.000000,0.000000
12,44,24,.050,0.000000,0.000000,0.000000
12,44,25,.050,0.000000,0.000000,0.000000
12,44,26,.050,0.000000,0.000000,0.000000
12,44,27,.050,0.000000,0.000000,0.000000
12,44,28,.050,0.000000,0.000000,0.000000
12,44,29,.050,0.000000,0.000000,0.000000
12,44,30,.050,0.000000,0.000000,0.000000
12,44,31,.050,0.000000,0.000000,0.000000
12,44,32,.050,0.000000,0.000000,0.000000
12,44,33,.050,0.000000,0.000000,0.000000
12,44,34,.050,0.000000,0.000000,0.000000
12,44,35,.050,0.000000,0.000000,0.000000
12,44,36,.049,0.000000,0.000000,0.000000
12,44,37,.049,0.000000,0.000000,0.000000
12,44,38,.049,0.000000,0.000000,0.000000
12,44,39,.050,0.000000,0.000000,0.000000
12,44,40,.050,0.000000,0.000000,0.000000
12,44,41,.050,0.000000,0.000000,0.000000
12,44,42,.050,0.000000,0.000000,0.000000
12,44,43,.050,0.000000,0.000000,0.000000
12,44,44,.050,0.000000,0.000000,0.000000
12,44,45,.050,0.000000,0.000000,0.000000
12,44,46,.050,0.000000,0.000000,0.000000
12,44,47,.050,0.000000,0.000000,0.000000
12,44,48,.050,0.000000,0.000000,0.000000
12,44,49,.050,0.000000,0.000000,0.000000
12,44,50,.050,0.000000,0.000000,0.000000
12,44,51,.050,0.000000,0.000000,0.000000
12,44,52,.050,0.000000,0.000000,0.000000
12,44,53,.050,0.000000,0.000000,0.000000
12,44,54,.049,0.000000,0.000000,0.000000
12,44,55,.049,0.000000,0.000000,0.000000
12,44,56,.049,0.000000,0.000000,0.000000
12,44,57,.050,0.000000,0.000000,0.000000
12,44,58,.050,0.000000,0.000000,0.000000
12,44,59,.050,0.000000,0.000000,0.000000
12,45,00,.050,0.000000,0.000000,0.000000
12,45,01,.050,0.000000,0.000000,0.000000
12,45,02,.050,0.000000,0.000000,0.000000
12,45,03,.050,0.000000,0.000000,0.000000
12,45,04,.050,0.000000,0.000000,0.000000
12,45,05,.050,0.000000,0.000000,0.000000
12,45,06,.050,0.000000,0.000000,0.000000
12,45,07,.050,0.000000,0.000000,0.000000
12,45,08,.050,0.000000,0.000000,0.000000
12,45,09,.050,0.000000,0.000000,0.000000
12,45,10,.050,0.000000,0.000000,0.000000
12,45,11,.049,0.000000,0.000000,0.000000
12,45,12,.049,0.000000,0.000000,0.000000
12,45,13,.049,0.000000,0.000000,0.000000
12,45,14,.050,0.000000,0.000000,0.000000
12,45,15,.050,0.000000,0.000000,0.000000
12,45,16,.050,0.000000,0.000000,0.000000
12,45,17,.050,0.000000,0.000000,0.000000
12,45,18,.050,0.000000,0.000000,0.000000
12,45,19,.050,0.000000,0.000000,0.000000
12,45,20,.050,0.000000,0.000000,0.000000
12,45,21,.050,95.000000,95.000000,0.211111
12,45,22,.050,641.000000,736.000000,1.424444
12,45,23,.050,623.000000,1359.000000,1.384444
12,45,24,.050,727.000000,2086.000000,1.615556
12,45,25,.050,803.000000,2889.000000,1.784444
12,45,26,.050,719.000000,3608.000000,1.597778
12,45,27,.050,662.000000,4270.000000,1.471111
12,45,28,.050,546.000000,4816.000000,1.213333
12,45,29,.049,732.000000,5548.000000,1.626667
12,45,30,.049,640.000000,6188.000000,1.422222
12,45,31,.049,706.000000,6894.000000,1.568889
12,45,32,.050,676.000000,7570.000000,1.502222
12,45,33,.050,626.000000,8196.000000,1.391111
12,45,34,.050,671.000000,8867.000000,1.491111
12,45,35,.050,700.000000,9567.000000,1.555556
12,45,36,.050,709.000000,10276.000000,1.575556
12,45,37,.050,703.000000,10979.000000,1.562222
12,45,38,.050,796.000000,11775.000000,1.768889
12,45,39,.050,670.000000,12445.000000,1.488889
